date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:29:33	118/118	---M-Z	200	added ('OK')	text/plain	date:Thu,%2015%20May%202025%2010:29:32%20GMT	https://celektro.cz/robots.txt		(from )
12:29:34	39995/39995	---M-Z	200	added ('OK')	text/html	date:Thu,%2015%20May%202025%2010:29:33%20GMT	https://celektro.cz/	C:/My%20Web%20Sites/celektro/celektro.cz/index.html	(from )
12:29:34	1101/1101	---M--	200	added ('OK')	image/png	etag:%2244d-5a751ee024899%22	https://celektro.cz/wp-content/themes/Celektro/images/940970_bd_media_id_d89c88804a7c3a86ab7a0af70a26eeb5.png	C:/My%20Web%20Sites/celektro/celektro.cz/wp-content/themes/Celektro/images/940970_bd_media_id_d89c88804a7c3a86ab7a0af70a26eeb5.png	(from https://celektro.cz/)
12:29:36	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Thu,%2015%20May%202025%2010:29:35%20GMT	https://celektro.cz/xmlrpc.php	C:/My%20Web%20Sites/celektro/celektro.cz/xmlrpc.1.delayed	(from https://celektro.cz/)
12:29:36	293080/293080	---MCZ	200	added ('OK')	application/javascript	etag:%22478d8-5a73eadc600d7-gzip%22	https://celektro.cz/wp-content/themes/Celektro/jquery.js?ver=1.0.536	C:/My%20Web%20Sites/celektro/celektro.cz/wp-content/themes/Celektro/jquery1826.js	(from https://celektro.cz/)
12:29:37	1007/1007	---M-Z	200	added ('OK')	application/javascript	etag:%223ef-5a73eadc823b9-gzip%22	https://celektro.cz/wp-content/themes/Celektro/layout.core.js	C:/My%20Web%20Sites/celektro/celektro.cz/wp-content/themes/Celektro/layout.core.js	(from https://celektro.cz/)
12:29:37	102452/102452	---M-Z	200	added ('OK')	text/css	etag:%2219034-5ef9df56b2588-gzip%22	https://celektro.cz/wp-content/plugins/foogallery/extensions/default-templates/shared/css/foogallery.min.css?ver=2.2.26	C:/My%20Web%20Sites/celektro/celektro.cz/wp-content/plugins/foogallery/extensions/default-templates/shared/css/foogallery.minf599.css	(from https://celektro.cz/)
12:29:38	102640/102640	---M-Z	200	added ('OK')	text/css	etag:%22190f0-5f05a06e2a920-gzip%22	https://celektro.cz/wp-content/plugins/download-manager/assets/fontawesome/css/all.min.css?ver=6.1.7	C:/My%20Web%20Sites/celektro/celektro.cz/wp-content/plugins/download-manager/assets/fontawesome/css/all.min36b6.css	(from https://celektro.cz/)
12:29:38	2140/2140	---M-Z	200	added ('OK')	application/rss+xml	etag:%22af6cdea8a8bb9fc4d1812f1dfe0651d9-gzip%22	https://celektro.cz/feed/	C:/My%20Web%20Sites/celektro/celektro.cz/feed/index.html	(from https://celektro.cz/)
12:29:38	822/822	---M-Z	200	added ('OK')	application/rss+xml	etag:%22af6cdea8a8bb9fc4d1812f1dfe0651d9-gzip%22	https://celektro.cz/comments/feed/	C:/My%20Web%20Sites/celektro/celektro.cz/comments/feed/index.html	(from https://celektro.cz/)
